"Case ID","Category","Real World Example","Scenario / Preconditions","User Action","Current App Behavior","Question For PM","Suggested Default","PM Decision","Priority","Status"
"GRP-01","Grouping","Cola cans from two inward entries","Two or more positive stock rows have the same sale price, MRP, purchase price, unit, HSN code, and tax rate.","Cashier adds product.","System combines rows into one pricing group and sums quantity.","Is this exact grouping rule correct?","Yes, combine rows only when all pricing-relevant fields match.","","High","Pending PM"
"GRP-02","Grouping","Two batches with same selling price but different MRP","Positive stock rows have same sale price but different MRP.","Cashier adds product.","System keeps them as separate pricing groups and may show the modal.","Should different MRP force separate choices even if sale price is the same?","Yes, keep separate if MRP matters to cashier or customer.","","Medium","Pending PM"
"GRP-03","Grouping","Old purchase cost and new purchase cost","Positive stock rows have same sale price and MRP but different purchase price.","Cashier adds product.","System keeps them as separate pricing groups.","Should purchase price differences matter for cashier-side stock selection?","If only selling behavior matters, consider combining; if margin tracking matters, keep separate.","","Medium","Pending PM"
"GRP-04","Grouping","Loose item vs boxed unit","Positive stock rows have same price but different unit.","Cashier adds product.","System keeps them as separate pricing groups.","Should different units always be separate even if price is identical?","Yes, keep separate because quantity interpretation changes.","","High","Pending PM"
"GRP-05","Grouping","Same price but different HSN classification","Positive stock rows have same price and MRP but different HSN code.","Cashier adds product.","System keeps them as separate pricing groups.","Should tax or compliance classification differences always prevent grouping?","Yes, keep separate if HSN affects billing or reporting.","","Medium","Pending PM"
"GRP-06","Grouping","Same price but different GST/VAT rate","Positive stock rows have same price and MRP but different tax rate.","Cashier adds product.","System keeps them as separate pricing groups.","Should different tax rates always force separate choices?","Yes, keep separate.","","High","Pending PM"
"GRP-07","Grouping","Dairy item with same price but different expiry","Positive stock rows have same pricing fields but different expiry dates.","Cashier adds product.","System still combines them because expiry is not part of the grouping key.","Should expiry date affect grouping, or is current no-expiry grouping acceptable?","If FEFO matters, expiry should affect selection or at least final stock pick.","","High","Pending PM"
"GRP-08","Grouping","Same pricing, different inward dates","Positive stock rows have same pricing fields but different stock dates.","Cashier adds product.","System combines them because stock date is not part of the grouping key.","Should stock date influence grouping or automatic selection?","Usually no for UI grouping, but yes for deduction order if FIFO is required.","","Medium","Pending PM"
"GRP-09","Grouping","Many raw rows, one sell price","Multiple raw stock rows exist, but after grouping there is exactly one pricing group.","Cashier adds product.","System skips the modal and auto-selects the single pricing group.","Should the cashier still see a modal for visibility even when only one pricing group exists?","No modal; auto-add for speed.","","High","Pending PM"
"GRP-10","Grouping","Old batch and new batch at different prices","Multiple raw stock rows exist, and after grouping there are multiple pricing groups.","Cashier adds product.","System opens the multi-stock modal.","Is modal-based manual choice the right UX when multiple pricing groups remain?","Yes, require explicit choice.","","High","Pending PM"
"MOD-01","Multi-Stock Modal","Combined pricing row in stock modal","Modal is open and a grouped row is visible.","Cashier clicks the top-level Choose button on a grouped row.","System returns one representative stock row with combined quantity and uses that for cart selection.","Should top-level Choose be allowed, or should cashier be forced to choose an exact underlying stock row?","Allow top-level Choose only if backend can safely handle grouped deduction.","","High","Pending PM"
"MOD-02","Multi-Stock Modal","Cashier wants to inspect grouped rows","Modal shows a grouped row with multiple underlying stock entries.","Cashier expands the row.","System shows the list of individual stock entries under that grouped row.","Is expand-and-inspect enough detail for the cashier, or should more fields be visible up front?","Keep compact view with optional expand.","","Low","Pending PM"
"MOD-03","Multi-Stock Modal","Cashier wants exact stock row","Modal shows expanded individual stock entries.","Cashier clicks Choose on one individual stock row.","System uses that exact underlying stock row for cart selection.","Should exact-row choosing remain available inside grouped rows?","Yes, keep exact selection for advanced control.","","High","Pending PM"
"MOD-04","Multi-Stock Modal","Cashier changes mind","Modal is open.","Cashier clicks Cancel or closes the modal.","Current flow aborts the add-to-cart action completely.","If cashier cancels stock selection, should the item still be added using base price, or should add be cancelled?","Cancel the add completely.","","High","Pending PM"
"MOD-05","Multi-Stock Modal","Sold-out rows in grouped product","Product has some stock rows with qty 0 and some with qty > 0.","Cashier opens stock modal.","Only positive-quantity rows are represented. Zero-quantity rows never appear.","Should sold-out rows be hidden, or shown as disabled for visibility?","Hide sold-out rows from modal.","","Medium","Pending PM"
"MOD-06","Multi-Stock Modal","One pricing group, many raw rows","Multiple raw stock rows combine into a single pricing group.","Cashier adds product.","No stock modal is shown, so cashier never sees a Choose button.","If only one pricing group remains but multiple actual stock rows exist, should the app still auto-add, or should it ask which exact stock to use?","Auto-add only if FIFO or FEFO deduction is deterministic.","","High","Pending PM"
"MOD-07","Multi-Stock Modal","Grouped selection inventory accuracy","Cashier picks a grouped row using top-level Choose.","Order is added to cart and later confirmed.","Business flow works, but inventory deduction may be tied to one representative stock id instead of all grouped rows.","Is grouped selection acceptable if inventory tracks against one representative stock, or must exact-row deduction be enforced?","Require exact-row handling if stock ledger accuracy is critical.","","High","Pending PM"
"HIS-01","Customer History Pricing","Walk-in customer without pricing history feature","Add-to-cart is direct, but customer history setting is off, or no customer id/name is available.","Cashier adds product.","System skips purchase-history lookup and uses current stock or base price.","Is it correct to bypass purchase history unless a valid customer and feature flag exist?","Yes, skip history unless explicitly enabled and customer is known.","","Medium","Pending PM"
"HIS-02","Customer History Pricing","Default customer used for generic billing","Customer history setting is on, but selected customer is the default customer.","Cashier adds product.","System skips purchase-history modal for the default customer.","Should default customer always skip customer-specific price history?","Yes, skip history for default customer.","","Medium","Pending PM"
"HIS-03","Customer History Pricing","Regular customer with no prior purchases","Customer history setting is on. Valid non-default customer is selected. API returns no history for this product.","Cashier adds product.","System proceeds with current stock or base price.","Should no-history customers always use current price without any prompt?","Yes, use current price silently.","","High","Pending PM"
"HIS-04","Customer History Pricing","Regular customer with prior price history","Customer history exists for the selected customer and product.","Cashier chooses Use Current Price in the purchase history modal.","System keeps the current stock or base price and continues add-to-cart.","Is choosing current price the right primary action when history exists?","Yes, current price should remain selectable.","","Medium","Pending PM"
"HIS-05","Customer History Pricing","Preferred customer gets old negotiated price","Customer history exists for the selected customer and product.","Cashier chooses a historical price in the purchase history modal.","System overrides the selling price with the chosen historical price but keeps the selected stock for tracking.","Should historical price override be allowed while preserving the current selected stock?","Yes, allow price override but keep stock linkage.","","High","Pending PM"
"HIS-06","Customer History Pricing","Cashier opens history modal accidentally","Purchase history modal is open.","Cashier cancels the modal.","Current flow aborts the add-to-cart action entirely.","If cashier cancels customer history modal, should the item still be added at current price, or should add be cancelled?","Cancel the add to avoid accidental pricing.","","High","Pending PM"
"HIS-07","Customer History Pricing","Historical price differs from selected stock price","Customer selects a historical price that is lower or higher than the stock's current price.","Cashier confirms the historical price.","Cart line uses historical selling price, but selected stock remains attached and stock_id can still be sent.","Is it valid to keep stock_id from current stock while selling at a historical customer-specific price?","Yes, if stock controls inventory and price controls billing separately.","","High","Pending PM"
"CRT-01","Cart Merge / Line Identity","Same item from same batch twice","Same product is added again with the same selected stock id.","Cashier adds the product again.","System increments quantity on the existing cart row instead of creating a new row.","Is same-product plus same-stock the correct row-merge rule?","Yes, merge same product and same stock.","","High","Pending PM"
"CRT-02","Cart Merge / Line Identity","Same item from different batches","Same product is added again with a different selected stock id.","Cashier adds the product again.","System creates or keeps a separate cart row for the different stock.","Should different stock ids always stay on separate cart rows?","Yes, keep separate rows.","","High","Pending PM"
"CRT-03","Cart Merge / Line Identity","No-stock fallback item added twice","Same product is added again without any selected stock, such as base-price fallback.","Cashier adds the product again.","System merges rows when both cart lines have no selected stock.","Should no-stock base-price lines merge together?","Yes, merge if product and no-stock context match.","","Medium","Pending PM"
"CRT-04","Cart Pricing Override","Cashier manually types custom price in Add Item","Stock-enabled flow is used, and cashier enters a custom price before adding.","Cashier clicks Add Item.","System carries the custom price through stock selection flow and adds the item with that explicit price.","Should manual custom price always win over stock price in Add Item flow?","Yes, if cashier has permission to override price.","","High","Pending PM"
"CRT-05","Cart Pricing Override","Cashier re-adds same item after manual override","Item already exists in cart with a custom price. Cashier adds same product and same stock again without giving a new explicit price.","Cashier adds the product again.","System preserves the existing custom price on that cart row.","Should existing custom price remain sticky for repeat adds of the same product and stock?","Yes, preserve until cashier changes it.","","Medium","Pending PM"
"CRT-06","API Payload","Confirmed order with selected stock","Cart line has a selected stock.","Cashier confirms or prints order.","System includes stock_id in the order payload.","Should selected stock always be sent to API when available?","Yes, send stock_id for stock-aware orders.","","High","Pending PM"
"CRT-07","API Payload","Confirmed order from base-price fallback","Cart line has no selected stock because no stock was chosen or none was available.","Cashier confirms or prints order.","System sends no stock_id or sends null for that line.","Should orders created through fallback selling be allowed to go to API without stock_id?","Yes only if backend supports non-stock sale lines; otherwise block with warning.","","High","Pending PM"
"CRT-08","Data Quality / Pricing","Stock row missing selling price","Stock-enabled flow selects a stock row whose price is null or empty.","Cashier adds product.","Current flow can end up passing an explicit 0 price to cart in some paths.","If selected stock has no price, should the app fall back to product base price, block sale, or allow 0?","Never allow silent 0 price; either fall back to product price or block sale.","","High","Pending PM"
"CRT-09","Data Quality / Pricing","Stock row missing MRP","Stock-enabled flow selects a stock row whose MRP is null or empty.","Cashier adds product.","Current flow can end up passing an explicit 0 MRP to cart in some paths.","If selected stock has no MRP, should the app fall back to product MRP, allow blank MRP, or block sale?","Fall back to product MRP if available.","","Medium","Pending PM"
"QTY-01","Quantity / Stock Clamp","Normal in-stock sale","Selected stock has enough quantity for the requested cart quantity.","Cashier adds or increments quantity.","Stock reduces normally and cart quantity matches stock deducted.","Is standard exact deduction the correct baseline behavior?","Yes, deduct exactly when stock is sufficient.","","High","Pending PM"
"QTY-02","Quantity / Stock Clamp","Requested sale exceeds available stock","Selected stock has less quantity than requested.","Cashier adds a quantity larger than available stock.","Stock is clamped at 0, sale continues, and cart quantity may be greater than actual stock deducted.","Should overselling be allowed when requested quantity exceeds available stock?","Usually block or warn and cap sale to available quantity.","","High","Pending PM"
"QTY-03","Quantity / Stock Clamp","Cart line increment pushes stock below zero","Item already in cart. Additional increment would make selected stock negative.","Cashier increments quantity again.","Stock deduction is clamped at 0, but cart quantity still increases and stockDeducted tracks only what was actually deducted.","When increment would oversell, should quantity increase be blocked, capped, or allowed with warning?","Block or cap the increment to available stock.","","High","Pending PM"
"QTY-04","Quantity / Stock Clamp","Grouped row selected from combined stocks","Cashier chooses a grouped pricing row with combined total quantity from multiple raw stock rows.","Cashier adds a quantity against that grouped row.","UI treats the group as one representative stock with total quantity, but underlying deduction across raw rows is not fully distributed.","If grouped rows stay selectable, how should actual quantity deduction be distributed across the underlying stock rows?","Use FIFO or FEFO across original rows, not one representative row.","","High","Pending PM"
