"Category","Scenario","Expected Behavior"
"Multi-Stock & Grouping","Positive stock rows have the same sale price but different MRP. Cashier adds the product.","System keeps them as separate pricing groups."
"Multi-Stock & Grouping","Positive stock rows have the same sale price and MRP but different purchase price. Cashier adds the product.","System keeps them as separate pricing groups."
"Multi-Stock & Grouping","Positive stock rows have the same pricing but different unit. Cashier adds the product.","System keeps them as separate pricing groups."
"Multi-Stock & Grouping","Positive stock rows have the same pricing but different HSN code. Cashier adds the product.","System keeps them as separate pricing groups."
"Multi-Stock & Grouping","Positive stock rows have the same pricing but different tax rate. Cashier adds the product.","System keeps them as separate pricing groups."
"Multi-Stock & Grouping","Positive stock rows have the same pricing but different wholesale price. Cashier adds the product.","System keeps them as separate pricing groups."
"Multi-Stock & Grouping","Positive stock rows have the same pricing but different wholesale min unit. Cashier adds the product.","System keeps them as separate pricing groups."
"Multi-Stock & Grouping","Positive stock rows have the same pricing but different expiry dates. Cashier adds the product.","System still combines them because expiry is not part of the grouping rule."
"Multi-Stock & Grouping","Positive stock rows have the same pricing but different inward dates. Cashier adds the product.","System still combines them because inward date is not part of the grouping rule."
"Multi-Stock & Grouping","Multiple raw stock rows exist, but after grouping there is exactly one pricing group. Cashier adds the product.","System skips the modal, auto-selects the single pricing group, and carries the grouped stock ids into cart so reservation can be distributed across the underlying rows."
"Multi-Stock & Grouping","Multiple raw stock rows exist, and after grouping there are multiple pricing groups. Cashier adds the product.","System opens the multi-stock modal and waits for cashier selection."
"Multi-Stock & Grouping","Multi-stock modal is open and a grouped row is visible. Cashier clicks the top-level Choose button on the grouped row.","System adds one cart line for that pricing group using the grouped quantity and pricing, while also keeping the underlying stock ids so stock can be reserved, restored, and submitted per raw row."
"Multi-Stock & Grouping","Multi-stock modal shows a grouped row with multiple underlying stock entries. Cashier expands the row.","System shows the individual stock entries inside that grouped row."
"Multi-Stock & Grouping","Multi-stock modal shows expanded individual stock entries. Cashier clicks Choose on one exact stock row.","System selects that exact stock row and adds it to cart."
"Multi-Stock & Grouping","Multi-stock modal is open and cashier clicks Cancel or closes the modal.","System cancels the add-to-cart flow and does not add the product."
"Multi-Stock & Grouping","Product has some stock rows with qty 0 and some with qty greater than 0. Cashier opens the stock modal.","System only shows rows or groups built from positive-quantity stock."
"Multi-Stock & Grouping","Multiple raw stock rows combine into a single pricing group. Cashier adds the product.","System auto-adds without asking the cashier to choose an exact raw stock row, and later stock reservation is distributed across the grouped rows."
"Multi-Stock & Grouping","Cashier picks a grouped pricing row using the top-level Choose button, and the sale later affects stock deduction.","System now reserves and deducts stock across the underlying grouped rows instead of tracking only one representative stock row."
"Multi-Stock & Grouping","Cart line has a selected stock and cashier confirms or prints the order.","System includes stock_id in the API payload. If the cart line reserved quantity across multiple grouped stock rows, the payload is expanded into multiple order lines, one per reserved stock_id."
"Multi-Stock & Grouping","Cart line has no selected stock because fallback selling was used, and cashier confirms or prints the order.","System sends the order line with stock_id as null. The same null-stock payload is also used for any overflow quantity that could not be reserved against grouped stock rows."
"Multi-Stock & Grouping","Cashier chooses a grouped pricing row with combined total quantity from multiple raw stock rows and sells against it.","System keeps one cart line for the grouped pricing row, but deduction and restoration are now distributed across the original stock rows. If sold quantity exceeds what can be reserved, the extra quantity remains unreserved and is sent with stock_id as null."
"Wholesale Pricing","Stock row has wholesalePrice set and wholesaleMinUnit set to 5. Cashier adds quantity 3 of the product.","System uses the regular stock sale price (not wholesale) because quantity is below the wholesale minimum unit threshold."
"Wholesale Pricing","Stock row has wholesalePrice set and wholesaleMinUnit set to 5. Cashier adds quantity 5 of the product.","System applies the wholesale price because quantity meets the exact minimum threshold."
"Wholesale Pricing","Stock row has wholesalePrice set and wholesaleMinUnit set to 5. Cashier adds quantity 10 of the product.","System applies the wholesale price because quantity exceeds the minimum threshold."
"Wholesale Pricing","Stock row has wholesalePrice null or empty, and wholesaleMinUnit is set. Cashier adds quantity above the min unit.","System falls back to regular stock sale price because wholesale price is not valid."
"Wholesale Pricing","Stock row has wholesalePrice set, but wholesaleMinUnit is null or 0. Cashier adds any quantity.","System falls back to regular stock sale price because wholesale minimum unit is not valid."
"Wholesale Pricing","Product base price exists but selected stock has no wholesale info. Cashier adds quantity above any product-level wholesale threshold.","System uses the selected stock's regular price or product base price; wholesale logic only evaluates the selected stock's wholesale fields."
"Wholesale Pricing","Cashier adds a product with quantity below wholesale threshold, then later increases cart quantity to meet the threshold.","System recalculates the cart line price to wholesale price on the quantity update, unless the price was manually overridden."
"Wholesale Pricing","Cashier adds a product with quantity above wholesale threshold, then later decreases cart quantity below the threshold.","System recalculates the cart line price back to the regular price on the quantity update, unless the price was manually overridden."
"Wholesale Pricing","Cashier manually overrides the price of a cart line, then changes quantity to cross the wholesale threshold.","System preserves the manual override price and does NOT auto-switch to wholesale price."
"Wholesale Pricing","Wholesale price is selected for a grouped stock row (multiple raw stocks combined). Cashier sells above the min unit.","System applies the wholesale price from the grouped stock metadata because the grouped row carries the wholesalePrice and wholesaleMinUnit of its first stock."
"Wholesale Pricing","Grouped stock rows have different wholesale prices. Cashier views the stock modal.","System keeps them as separate pricing groups because wholesalePrice is part of the grouping key."
"Wholesale Pricing","Cashier selects a historical customer purchase price that is different from both regular and wholesale price.","System uses the historical price as a manual override, preserves it across quantity changes, and does not apply wholesale recalculation."
"Sale Units & Alternate Units","Product has sale units defined (e.g., CASE=12). Cashier scans the base product barcode.","System adds the product using the base unit with quantity 1 and no sale unit metadata."
"Sale Units & Alternate Units","Product has sale units defined. Cashier scans a sale unit barcode (e.g., CASE barcode).","System matches the sale unit, resolves quantity from the conversion rate (e.g., 12), and adds the cart line with saleUnitId, saleUnitName, and saleUnitConversionRate set."
"Sale Units & Alternate Units","Product has sale units defined. Cashier scans a sale unit barcode with conversion rate '1'.","System adds the product with that sale unit but treats it as a base-unit-equivalent; the useSaleUnit flag is false because resolved quantity is not greater than 1."
"Sale Units & Alternate Units","Product has sale units defined. Cashier scans a sale unit barcode with an invalid or empty conversion rate.","System defaults the quantity to 1 and may still pass the sale unit metadata if the barcode matched, but the resolved quantity falls back to 1."
"Sale Units & Alternate Units","Cashier scans a sale unit barcode, stock management is enabled, and the matched stock has insufficient base quantity for the sale unit quantity.","System shows an error 'Insufficient stock for [unit name]' and aborts the add-to-cart flow."
"Sale Units & Alternate Units","Cashier scans a sale unit barcode and stock management is disabled.","System adds the product with the sale unit metadata and uses the product base price (or stock price if available) without any stock availability check."
"Sale Units & Alternate Units","Product is added with a sale unit (CASE). The same product and same sale unit are added again.","System merges into the same cart line and increases the base quantity by the sale unit's conversion rate step."
"Sale Units & Alternate Units","Product is added with a sale unit (CASE), then the same product is added with a different sale unit (PACK) or base unit.","System keeps them as separate cart lines because the saleUnitId differs."
"Sale Units & Alternate Units","Product is added with a sale unit and a specific stock group. The same product is added again with the same sale unit but a different stock group.","System keeps them as separate cart lines because the stock group ids differ."
"Sale Units & Alternate Units","Cashier uses the compact quantity control (+ button) on a sale unit cart line.","System increments the base quantity by the sale unit conversion rate (e.g., +12 for a CASE), not by 1."
"Sale Units & Alternate Units","Cashier uses the compact quantity control (- button) on a sale unit cart line.","System decrements the base quantity by the sale unit conversion rate (e.g., -12 for a CASE). If the result would fall below the step, the item is removed."
"Sale Units & Alternate Units","Cashier manually edits the quantity of a sale unit line to a value that is not a clean multiple of the conversion rate.","System accepts the entered base quantity as-is for cart math, but the display quantity may show a fractional sale-unit amount."
"Sale Units & Alternate Units","Payload is built for a sale unit line where the reserved base quantity is cleanly divisible by the conversion rate.","System sends displayQuantity (base / rate), displayPrice (basePrice * rate), and includes sale_unit_id in the payload line."
"Sale Units & Alternate Units","Payload is built for a sale unit line where the reserved base quantity is NOT cleanly divisible by the conversion rate.","System sends the raw base quantity, raw base price, and omits sale_unit_id for that line because it cannot be represented cleanly in the sale unit."
"Sale Units & Alternate Units","Stock selection modal is opened for a product with sale units. Some stocks match the sale unit's purchaseUnitId.","System prefers stocks whose purchaseUnitId matches the sale unit's id/unitId/unitName. If exactly one preferred pricing group exists with enough quantity, it auto-selects that group without showing the modal."
"Sale Units & Alternate Units","Stock selection modal is opened for a product with sale units. Multiple preferred sale unit stock groups exist.","System shows the stock modal with all available stocks; the cashier must choose."
"Sale Units & Alternate Units","Stock selection modal is opened for a product with sale units. No stocks match the sale unit's purchaseUnitId.","System shows all available stocks in the modal; the cashier must choose from the general stock list."
"Sale Units & Alternate Units","Cart line has a sale unit and cashier increases quantity beyond the current stock selection's available quantity.","CartQuantityStockHelper prompts for alternative stock, snapping the additional quantity to the sale unit step (conversion rate multiple)."
"Sale Units & Alternate Units","Cart line has a sale unit and the available alternative stock does not have enough quantity for even one sale unit step.","System blocks the increase and shows an error that the selected stock does not have enough quantity for one [unit name]."
"Barcode Scanning","Cashier scans a standard barcode that exactly matches a product's base barcode.","System finds the product, does not match a sale unit, and adds with base unit."
"Barcode Scanning","Cashier scans a 14-digit barcode starting with '000' for a product whose unit is KGS/KG.","System parses weight: first 2 digits as kg, last 3 as grams, computes decimal kg quantity, and adds the product with that weight quantity."
"Barcode Scanning","Cashier scans a 14-digit barcode starting with '000' for a product whose unit is PCS/PC.","System parses the last 5 digits as integer quantity and adds the product with that count."
"Barcode Scanning","Cashier scans a 14-digit barcode starting with '000' for a product whose unit is neither KGS/KG nor PCS/PC.","System falls through to standard barcode logic, using the full barcode for product lookup (which will likely fail or match a sale unit barcode if present)."
"Barcode Scanning","Cashier scans an invalid or unknown barcode.","System shows AddProductWithBarcodeModal so the cashier can create or search for the product."
"Barcode Scanning","Cashier scans a barcode that matches both a product base barcode and a sale unit barcode.","System prioritizes the sale unit match if the scanned barcode equals a saleUnit.barcode; otherwise it uses the base product match."
"Cart Operations & Quantity Controls","Cashier clicks + on a compact quantity control for a regular (non-sale-unit) item within available stock.","System increments quantity by 1, deducts 1 from stock, and updates the cart line."
"Cart Operations & Quantity Controls","Cashier clicks - on a compact quantity control for a regular item, bringing quantity from 2 to 1.","System decrements quantity by 1 and restores 1 to stock."
"Cart Operations & Quantity Controls","Cashier clicks - on a compact quantity control for a regular item, bringing quantity from 1 to 0.","System removes the item from cart and restores the full stockDeducted amount."
"Cart Operations & Quantity Controls","Cashier directly sets a cart item quantity to a higher number using setCartItemQuantity.","If stock enabled, system reserves the difference from the selected stock/group. If stock runs out, clamping occurs and cart quantity may exceed reserved stock."
"Cart Operations & Quantity Controls","Cashier directly sets a cart item quantity to a lower number using setCartItemQuantity.","System restores the difference to the selected stock/group, up to the amount previously deducted."
"Cart Operations & Quantity Controls","Cashier directly sets a cart item quantity to 0 using setCartItemQuantity.","System removes the item and restores the full stockDeducted amount."
"Cart Operations & Quantity Controls","Cashier increases quantity via compact control beyond current stock availability, and alternative stocks with the same pricing group exist.","CartQuantityStockHelper auto-selects the single alternative pricing group and adds the extra quantity without showing a modal."
"Cart Operations & Quantity Controls","Cashier increases quantity via compact control beyond current stock availability, and alternative stocks with different pricing groups exist.","CartQuantityStockHelper shows the stock selection modal so the cashier can pick the next stock group."
"Cart Operations & Quantity Controls","Cashier increases quantity via compact control beyond current stock availability, and no alternative stock exists.","System blocks the increase and shows an error that the selected stock is exhausted and no other stock is available."
"Cart Operations & Quantity Controls","Cashier removes an item from the cart using removeFromCart.","System restores exactly the stockDeducted amount (not the full cart quantity) to the corresponding stock reservations."
"Cart Operations & Quantity Controls","Cashier clears the entire cart using clearCart.","System restores all stockDeducted amounts for every cart line, clears discounts, and empties the cart."
"Cart Operations & Quantity Controls","Cashier confirms/saves an order and the system calls clearCartAfterOrder.","System empties the cart and clears discounts WITHOUT restoring any stock, preserving the deduction as a confirmed sale."
"Cart Operations & Quantity Controls","The same product is added again with the same selected stock id and same sale unit.","System merges into the same cart row and increases quantity. The same merge behavior also applies when the same grouped stock ids are selected again."
"Cart Operations & Quantity Controls","The same product is added again with a different selected stock id.","System keeps it as a separate cart row. The same applies when the grouped stock-id set is different."
"Cart Operations & Quantity Controls","The same product is added again without any selected stock because it is a base-price fallback line.","System merges rows when both lines have no selected stock."
"Cart Operations & Quantity Controls","Item already exists in cart with a custom price, and cashier adds the same product and same stock again without entering a new price.","System preserves the existing custom price on that cart row, including when that row represents the same grouped pricing selection."
"Cart Operations & Quantity Controls","Cashier manually types a custom price in Add Item before stock-enabled add flow completes.","System carries that explicit custom price through the flow and uses it in the cart."
"Customer Purchase History","Add-to-cart is direct, but customer history setting is off, or no customer id or name is available. Cashier adds the product.","System skips customer purchase history lookup and uses the current stock or base price."
"Customer Purchase History","Customer history setting is on, but the selected customer is the default customer. Cashier adds the product.","System skips customer purchase history lookup for the default customer."
"Customer Purchase History","Customer history setting is on, valid non-default customer is selected, and API returns no history. Cashier adds the product.","System continues with current stock or base price and does not show the history modal."
"Customer Purchase History","Customer history exists for the selected customer and product, and cashier chooses Use Current Price.","System keeps the current stock or base price and continues adding to cart."
"Customer Purchase History","Customer history exists for the selected customer and product, and cashier chooses a historical price.","System overrides the selling price with the historical price but keeps the selected stock or grouped stock selection metadata for tracking."
"Customer Purchase History","Purchase history modal is open and cashier cancels it.","System cancels the add-to-cart flow and does not add the product."
"Customer Purchase History","Customer selects a historical price that differs from the selected stock price.","System keeps the selected stock identity for tracking and uses the chosen historical selling price in the cart; grouped selections also retain their grouped stock ids for reservation tracking."
"Saved Orders & Rehydration","Cashier saves a draft order with grouped stock selections and sale units.","System deep-clones cart items into the saved order, preserving stockGroupIds, stockReservations, and sale unit metadata."
"Saved Orders & Rehydration","Cashier loads a saved order for editing.","System first restores stock from the current cart (releases reservations), then loads the saved order items into the cart and re-applies their stock reservations."
"Saved Orders & Rehydration","Saved order being loaded has items with grouped stock ids and empty stockReservations (legacy).","System rebuilds stock reservations from legacy stockDeducted against the grouped stock ids during load."
"Saved Orders & Rehydration","Cashier updates an existing saved order.","System replaces the saved order items with the current cart snapshot, recalculates totals including delivery charge, clears the currentOrder reference, and persists to Hive."
"Saved Orders & Rehydration","Cashier deletes a saved order.","System removes it from saved orders and Hive. If it was the current order, the current order reference is also cleared."
"Saved Orders & Rehydration","Cashier moves a saved order to confirmed orders.","System creates a confirmed order copy with CONF- prefix, removes it from saved orders, and persists both lists to Hive."
"Saved Orders & Rehydration","BillingPage rebuilds and detects that the provider's currentOrder id differs from the last rehydrated order id.","System triggers _rehydrateFromProvider to restore customer, payment methods, discounts, delivery info, and paid amounts from the saved order."
"Pricing Overrides & Updates","Cashier edits the price of a cart line manually.","System sets isManualPriceOverride=true, updates taxAmount based on the new price and current taxRate, and persists to Hive."
"Pricing Overrides & Updates","Cashier edits the MRP of a cart line manually.","System updates the MRP field only; tax and price remain unchanged."
"Pricing Overrides & Updates","Cashier edits the tax rate of a cart line manually.","System updates taxRate and recalculates taxAmount based on the current price."
"Pricing Overrides & Updates","Backend pushes a product price update while the product is in cart with manual price override.","System preserves the manual override price and updates only MRP and tax; wholesale recalculation is also skipped."
"Pricing Overrides & Updates","Backend pushes a product price update while the product is in cart without manual price override.","System recalculates the unit price (including wholesale qualification), updates MRP, and recalculates tax for that cart line and any matching saved order lines."
"Pricing Overrides & Updates","Backend pushes a stock-specific price update for a stock id that matches a cart line.","System recalculates the cart line price from the updated stock (respecting manual overrides), updates MRP, and recalculates tax. Saved orders with the same stock are also updated."
"Tax Calculation","Product has no taxes defined and stock has no tax rate.","System sets taxRate to 0 and taxAmount to 0 for the cart line."
"Tax Calculation","Product has taxes defined but stock has a specific tax rate string.","System uses the stock's tax rate string if it is present and non-empty, overriding the product's total tax rate."
"Tax Calculation","Product has multiple taxes (e.g., CGST 9% + SGST 9%) and the cart line taxRate equals the product totalTaxRate.","System distributes the extracted tax proportionally across each tax component in taxBreakdown (e.g., CGST @ 9% and SGST @ 9%)."
"Tax Calculation","Product tax breakdown is unavailable or the cart line taxRate does not match product totalTaxRate.","System assigns the entire tax amount to a single generic key (e.g., 'Tax @ 18%') in taxBreakdown."
"Tax Calculation","Product has exactly one tax defined and the rate matches the cart line taxRate.","System uses the single tax name in the breakdown key (e.g., 'GST @ 18%')."
"Discounts","Cashier applies a flat discount of 50 to a cart with subtotal 500.","System subtracts 50 from subtotal; net payable is 450."
"Discounts","Cashier applies a percentage discount of 10% to a cart with subtotal 500.","System subtracts 50 (10% of 500) from subtotal; net payable is 450."
"Discounts","Cashier applies both flat 50 and percentage 10% to a cart with subtotal 500.","System subtracts total discount 100 (50 + 50) from subtotal; net payable is 400."
"Discounts","Cashier applies discounts that together exceed the cart subtotal.","System caps total discount at subtotal, sets net payable to 0, and adjusts stored discount values to reflect the cap (prioritizing flat discount)."
"Discounts","Cashier clears the cart.","System clears both cart items and discounts (flat and percentage)."
"Discounts","Cashier saves an order while discounts are applied.","System stores flatDiscount and percentageDiscount inside the SavedOrder and restores them when the order is loaded for editing."
"Payload & API Submission","Cart line has reserved quantity across 3 grouped stock rows and the sale unit payload is valid for each.","System expands the cart line into 3 payload lines (one per stock_id), each with displayQuantity, displayPrice, and sale_unit_id."
"Payload & API Submission","Cart line has 5 total quantity but only 3 could be reserved against grouped stocks.","System creates payload lines for the 3 reserved quantities with stock_ids, and one additional line for the remaining 2 with stock_id as null."
"Payload & API Submission","Cart line has no sale unit and reserved quantity across 2 grouped stock rows.","System creates 2 payload lines with raw base quantity and raw price, and includes stock_id. No sale_unit_id is sent."
"Payload & API Submission","Cart line has a sale unit but the reserved quantity is not cleanly divisible by the conversion rate.","System sends the raw base quantity and raw price for that line and omits sale_unit_id."
"Payment & Checkout","Cashier saves an order with multi-payment (Cash + UPI) and later loads it.","System rehydrates both payment selections and their amounts from the saved order into the billing page state."
"Payment & Checkout","Cashier saves an order with a single payment method (CARD) and later loads it.","System rehydrates the single method selection and populates the corresponding amount controller with the paid amount."
"Payment & Checkout","Cashier saves an order with toCustomerCredit enabled and later loads it.","System restores the _toCustomerCreditEnabled flag and marks the payment step as completed."
"Payment & Checkout","Cashier saves an order with a coupon applied and later loads it.","System restores isCouponApplied=true and repopulates the coupon code controller."
"Payment & Checkout","Cashier saves an order with delivery charge and later loads it.","System restores _selectedDeliveryCharge and recalculates the total including delivery on re-save."
"Stock-Enabled Flow Edge Cases","Stock-enabled flow selects a stock row whose sale price is null or empty.","If the stock sale price is null, the flow falls back to the product price. If the value is present but empty or non-numeric, some paths can still resolve it to 0 instead of reliably falling back."
"Stock-Enabled Flow Edge Cases","Stock-enabled flow selects a stock row whose MRP is null or empty.","If the stock MRP is null, the flow falls back to the product MRP. If the value is present but empty or non-numeric, some paths can still resolve it to 0 instead of reliably falling back."
"Hive Persistence","App restarts after products with stock were saved to Hive.","System loads products from Hive, rebuilds the barcode index (including sale unit barcodes), and restores stock quantities exactly as they were at save time."
"Hive Persistence","App restarts after cart items with grouped stock selections and sale units were saved to Hive.","System rebuilds LocalCartItem objects from Hive, deserializes stockGroupIds, stockReservations, selectedStock, and sale unit metadata. Legacy carts with stockDeducted but no reservations are backfilled."
"Hive Persistence","App restarts after saved orders with discounts and payment methods were saved to Hive.","System restores SavedOrder objects with all API-compatible fields including deliveryDate, deliveryTime, flatDiscount, percentageDiscount, and paymentMethod."
"General Settings Sync","General settings change while the app is running (stockEnabled toggled).","BillingPage listener triggers _syncStockEnabledSetting, which updates LocalProductProvider's isStockEnabled and cached preference."
