SL NO,Real-World Example (with price / stock example),Current Way of Handling (with same example),Ideal / Real-World Needed Improvements
19,"A held order reserved 4 bottles from batch A and 2 from batch B. The cashier saves it, opens another customer, then reopens the held order.","The app restores the 4+2 batch allocation and the six-item cart line instead of treating it as a new unallocated sale. The tester should verify both batches are reserved again after reopening.","No change needed. Retest this whenever the saved-order API or local storage format changes."
20,"A cashier taps '+' five times quickly, then the app is closed or restarted immediately.","Cart and stock saves are queued one after another. The newest quantity should survive; an earlier save should not finish later and overwrite it. A tester can repeat rapid adds and restart to verify the last displayed quantity returns.","No correctness change needed. Full-snapshot saves can be optimized later if performance becomes a problem."
21,"Two cart lines use the same product but differ by variant, sale unit or batch. One old saved line is corrupt because of a previous app version.","Every cart line has its own line ID, so valid lines remain separate and load normally. The corrupt row is skipped instead of crashing the whole cart screen.","No change needed. Future APIs should support line-ID updates directly rather than rebuilding identity from several fields."
22,"A demo phone still exists in the catalog, but it is marked not sellable. A cashier scans its barcode.","The app stops before stock or price handling, shows that the demo phone is not sellable, and adds nothing to the cart. The tester should confirm no stock changed.","No change needed. Barcode scans must obey the same sellable rule as the visible product grid."
23,"A customer brings a new imported biscuit with barcode 123, but the product has not yet been created in the local catalog.","Instead of crashing or selecting a random item, the app opens the add-new-product flow with barcode 123 already filled in. The cashier can register it and add it to the sale if their business role permits that.","No change needed if cashier product creation is allowed. Add permission checks later if only managers should create products."
24,"A catalog mistake gives barcode 123 to two different products or variants. The cashier scans 123.","The app reports an ambiguous barcode and does not choose the first record. The tester should confirm neither product is automatically added.","No frontend workaround should guess the product. Backend/admin validation must keep barcodes unique within a tenant."
25,"A weighing-scale label represents 1.250 KG of meat. Meat costs Rs 400 per KG, so the expected line amount is Rs 500.","The scanner passes the decimal quantity 1.250 through the cart flow. The cart should show 1.250 KG and calculate Rs 500, not round it to 1 KG or 2 KG.","No change needed. Test with real scale-label formats used by the customer."
26,"A damaged scale barcode should contain 1.250 KG, but its embedded quantity digits are unreadable.","The current fallback can add quantity 1 instead of clearly telling the cashier that the barcode quantity failed. This could charge the wrong amount for weighed goods.","Improve before using many weighed products: show an error or require the cashier to confirm/type the quantity rather than silently defaulting to 1."
27,"A newly imported item has no selling price yet, so its catalog price is Rs 0. The cashier enters Rs 75 and quantity 2 in the quick-entry window.","The app opens the quick price/quantity window before adding. After confirmation, the cart contains quantity 2 at Rs 75 each. A tester should verify the total is Rs 150.","No change needed. This lets a real sale continue while product pricing is still being fixed."
28,"The same zero-price quick-entry window is opened, but the cashier presses Cancel because they do not know the price.","The product is not added and the app clearly says 'Price not entered - item was not added to cart.' The tester should verify the cart and stock remain unchanged.","No change needed. Silence here could let an unbilled product leave the shop."
29,"A regular customer previously paid Rs 80 for sugar, but the current minimum permitted price is Rs 90.","The app does not accept the historical Rs 80 value. It uses at least Rs 90, protecting the configured minimum margin. The tester should check both automatic history pricing and a manually typed Rs 80.","Correct for plain products. The variant-specific limitation is described in row 44."
30,"A cashier negotiates a floor fan from Rs 1,000 down to Rs 900. The customer asks for a second fan and the cashier scans the same product again.","The existing cart line becomes quantity 2 while keeping the manually chosen Rs 900 price. It must not silently return to Rs 1,000 just because the item was scanned again.","No change needed. Negotiated/manual prices should survive a normal quantity increase."
31,"A t-shirt product has Red/S at Rs 450, Red/M at Rs 500 and Blue/M at Rs 520. The cashier sells Red/M.","The app either shows the variant picker or resolves the exact variant from its barcode. The cart stores Red/M's variant ID and attributes, so it is not confused with Red/S or Blue/M.","No change needed. Test picker selection and each variant barcode separately."
32,"A perfume has exactly one active variant: Standard 50ml at Rs 300. The cashier taps the product tile.","The app selects Standard 50ml automatically and adds it as a variant line. It should not make the cashier perform an unnecessary extra picker tap for a single possible choice.","No change needed."
33,"Red/M has an exact stock row with quantity 0, Blue/M has 10, and overselling is enabled. The customer physically has a Red/M shirt.","The app sells Red/M using its exact zero-quantity row and leaves that row at 0. It never uses the 10 Blue/M units. If the Red/M row is missing completely, row 34 applies: the sale is still allowed with no allocation.","No change needed. Overselling allows a shortage for the requested identity; it never substitutes a different variant."
34,"Red/M has no stock row at all, although Blue/M has 10 and the plain product has general stock 20. The customer is physically holding a Red/M item and overselling is enabled.","The app now adds Red/M using its exact variant ID with no stock allocation. It does not borrow Blue/M or general stock, and local Blue/M quantity remains 10. Checkout carries the requested Red/M quantity as unallocated oversell.","No blocking is needed when overselling is enabled. The backend must accept a variant-level oversell with stock_id null and record the unallocated quantity."
35,"Variants are enabled for a shoe product, but every colour/size variant was deactivated by an admin.","The app reports that there are no active variants and does not sell the shoe as a plain generic item. The tester should confirm no stock is deducted.","Backend must keep sending the persistent variant-mode flag so an empty active list cannot accidentally make a variant product look plain."
36,"A Red shirt costs Rs 12 per piece. A CASE is 12 pieces. No special CASE price is configured, and the customer buys one CASE.","The app starts with the Red variant price: 12 x Rs 12 = Rs 144 for the CASE. Internally it stores the base price per piece but displays and sends Rs 144 per CASE.","No change needed. This is the expected fallback when no explicit sale-unit price exists."
37,"The same Red shirt costs Rs 12 per piece, but the product's CASE master price is Rs 100 for every colour. The customer buys one Red CASE.","The explicit CASE price wins over the simple 12 x Rs 12 calculation. The cart and checkout show one Red CASE at Rs 100.","No change needed when the business intends one common CASE price for all variants."
38,"The business wants Red CASE at Rs 110 and Blue CASE at Rs 130. Both CASEs contain 12 pieces.","The current product master data has no separate price table directly keyed by both variant and sale unit. This can work only if the backend provides a CASE price override on each variant's own stock row.","Add a true variant-plus-sale-unit pricing contract later if per-stock overrides cannot cover the business need."
39,"Red stock has a CASE price override of Rs 110. Product CASE master price is Rs 100 and Red piece price is Rs 12.","The selected Red stock row's CASE override has the highest priority, so one Red CASE sells for Rs 110. The tester should verify Rs 110 is used instead of Rs 100 or Rs 144.","No change needed. This is the intended priority for a batch/variant-specific commercial price."
40,"One CASE equals 12 pieces. Stock has 20 pieces and a customer buys 1 CASE.","The cart displays quantity 1 CASE, while the internal stock reservation consumes 12 pieces. Checkout sends the sale unit and one CASE quantity at the correct CASE price.","No change needed. Tester should verify display quantity and stock quantity are deliberately in different units."
41,"One CASE equals 12 pieces, but the selected stock has only 8 pieces. Overselling is enabled and the customer physically has a full CASE.","The app reserves the available 8 pieces, accepts the remaining 4 as shortage, and still displays one CASE. Local stock stops at 0; it must not show -4.","No frontend block is needed. Backend reports should distinguish 8 allocated pieces from 4 oversold pieces."
42,"The cart currently shows 5 PCS. The cashier changes its unit to CASE, where one CASE equals 12 PCS.","The current business meaning preserves the visible number: 5 PCS becomes 5 CASE, so the line now needs 60 base pieces. The app reserves the extra stock or restores stock when changing back.","Keep this behaviour documented in the UI. It is intentional, but cashiers may otherwise expect 5 PCS to become 0.4167 CASE."
43,"A restaurant/server cart contains 1.5 KG of fish at Rs 200 per KG. The cashier changes it first to 2.0 KG and then to 1.25 KG.","Fixed behaviour: increasing to 2.0 sends an extra 0.5 KG; reducing to 1.25 sends 1.25 KG. The old integer conversion no longer turns 0.5 into 0. No API call is made if the quantity did not actually change.","Frontend handling is correct now. The restaurant backend must continue accepting decimal quantities for KG, LTR and similar units."
44,"The base product minimum price is Rs 100, but a clearance Red variant is intentionally allowed to sell at Rs 80.","Known gap: the minimum-price calculation currently looks at the base product's floor. It can reject a valid Rs 80 Red-variant price and force it back up to Rs 100.","Make the minimum-price/margin calculation aware of the selected variant before using lower-priced clearance variants."
45,"A Green/M hoodie is added at Rs 500 and saved in a held order. Before it is reopened, an admin deactivates Green/M.","The existing held cart line keeps its saved Green/M identity and Rs 500 price. A new sale cannot select that inactive variant. The tester should confirm the held order does not silently become a base-product price.","No change needed. This protects the price already agreed in an open order while blocking new sales of deactivated variants."
46,"A sale contains Blue/L, two CASEs at Rs 120 per CASE, with stock taken from IDs 11 and 12. Some requested quantity may be oversold.","Checkout includes the product ID, Blue/L variant ID, CASE sale-unit ID, quantity, price and stock allocation identities. The total requested quantity remains complete even when local stock could allocate only part of it.","Backend must make the final authoritative stock decision, persist exact allocations, and record any oversold remainder."
47,"Register A and Register B both see stock 10. A completes a sale of 8 first. B then tries to complete another sale of 8.","The frontend prevents repeated tapping on one screen and now preserves the backend's structured conflict message. But B's device cannot know A changed stock until the backend checks it.","Backend must use one transaction/atomic allocation plus an idempotency key. With overselling ON, it should allocate B the remaining 2 and audit the other 6 as oversold."
48,"A customer buys a T-Shirt Red/L at Rs 500 and asks for a simplified tax invoice PDF.","The main simplified PDF prints a readable name such as 'T-Shirt (Red | L)' alongside its normal quantity and price. The tester should verify the attributes are not missing or printed twice.","No change needed for the main simplified PDF. Test every other tenant-specific or thermal layout separately if it is used."
49,"A customer returns Black/38 jeans originally sold for Rs 1,200. The return clerk needs to confirm the exact size and colour.","Order details and the sales-return screen show Black | 38 under the product name. Some separate return-summary or printed-return paths can still use only the base product name.","Add the variant text to every printed return summary if staff use those documents to verify returned goods."
50,"An admin creates Red/S, Red/M and Blue/M t-shirt variants. Later they delete Red/S, add Blue/L and change Red/M from Rs 500 to Rs 550.","The app sends new, changed and deleted variant rows together and rejects duplicate colour/size combinations or duplicate barcodes. Variant property choices such as COLOR and SIZE are loaded from the product-properties API.","Validate the live product-properties API response and show an admin-visible error if it fails. Silent empty dropdowns would make variant setup confusing."
51,"The backend says Blue/L has 20 units globally but only 3 are available in the cashier's active store.","The variant picker and local availability use the active-store number 3, not the global number 20. A tester should confirm the store-specific quantity controls the out-of-stock display.","Backend must consistently return active-store available quantity and the persistent variant-mode flag."
52,"A head-office admin changes which fields define a stock price group while a cashier already has an open cart. The cashier scans the same paint again.","The later scan can appear as a second cart line because grouping is recalculated with the newest settings, although the total amount remains correct. This is confusing but not a wrong-total bug.","Low-priority improvement: apply grouping changes after open carts are cleared, or freeze the grouping rules for each cart until checkout."
